Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.384653499990236
0.0,2,0,0.4849975999968592
90.0,2,0,0.38440899999113753
90.0,2,0,0.3889678999839816
45.0,0,0,0.42817830000421964
45.0,0,0,0.3529184000217356
45.0,0,0,0.4475326999963727
0.0,2,0,0.5950926000077743
0.0,0,0,0.38661009998759255
45.0,0,0,0.625761799979955
90.0,0,0,0.48108279998996295
45.0,2,0,0.4897273000096902
0.0,2,0,0.4866090000141412
45.0,2,0,0.5146780000068247
90.0,0,0,0.5658567999780644
90.0,2,0,0.4433224000094924
0.0,0,0,0.44207699998514727
0.0,0,0,0.4005939000053331
90.0,2,0,0.6461505999905057
45.0,2,0,0.46556760001112707
